,KSE100,Nestle_PK,Abbott_PK,Lucky_Cement,HBL_Bank,Dollar Rate,Petrol Price,New Car,Foreign Tour,Actual_Inflation_Rate
2010-01-01,9734.861071134868,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707,3.0,0.0,3.0,0.0,13.1
2010-02-01,9763.280056423611,599.0083892822265,49.797976875305174,54.66527824401855,23.334657669067383,3.0,0.0,3.0,0.0,13.0
2010-03-01,9890.897727272728,724.8785028872283,56.203653252643086,70.37670168669328,28.326610233472742,4.0,0.0,3.0,0.0,12.9
2010-04-01,10541.27283296131,909.5153364701705,59.88718050176447,73.66507027365945,27.517478769475762,3.0,0.0,3.0,0.0,13.1
2010-05-01,10061.63447265625,936.6594325474331,57.207097734723774,63.15756316412063,25.47641336350214,3.0,0.0,3.0,0.0,13.2
2010-06-01,9595.827592329546,956.3526805530895,53.37360798228871,58.62633549083363,23.924922076138582,3.0,0.0,3.0,0.0,12.7
2010-07-01,10116.128208705357,1042.8710992986505,54.54192837801847,62.05928473039107,25.448837973854758,3.0,0.0,3.0,0.0,12.9
2010-08-01,9880.833540482954,1072.5557639382102,52.45754554054954,61.1029127294367,24.654371521689676,3.0,0.0,2.0,0.0,13.2
2010-09-01,9929.474660773027,1127.9881425337358,51.3699727491899,64.69245945323597,23.743795134804465,3.0,0.0,2.0,0.0,15.7
2010-10-01,10399.309105282739,1182.4316813151042,56.651683444068546,67.07984996977306,24.704581487746466,3.0,0.0,2.0,0.0,15.3
2010-11-01,10946.23943014706,1211.1022394353693,60.18833697925914,69.62005025690252,25.826250596479937,3.0,0.0,2.0,0.0,15.5
2010-12-01,11686.278466796875,1473.843755307405,63.10533042576002,71.049444447393,28.838214210841965,3.0,0.0,3.0,0.0,14.8
2011-01-01,12368.411572265624,1692.156215122768,63.747423444475444,69.64024353027344,30.737471080961683,2.0,0.0,4.0,0.0,14.2
2011-02-01,11992.181586371527,2130.121029502467,56.23514416343287,63.80834312438965,30.2191229368511,2.0,0.0,4.0,0.0,14.1
2011-03-01,11786.835493607954,2057.0846371858015,52.00308542666228,61.953636667002804,31.117020233817723,2.0,0.0,4.0,0.0,14.0
2011-04-01,11842.759521484375,2204.8870442708335,54.95702707199823,66.11263384137835,35.30673526582264,3.0,0.0,4.0,0.0,13.9
2011-05-01,11990.826125372023,2187.5195756392045,57.850995844060726,65.72262885353781,34.64582027088512,3.0,0.0,4.0,0.0,13.8
2011-06-01,12345.127308238636,2526.955799449574,58.43790903958407,67.12590443004261,34.08325177972967,3.0,0.0,4.0,0.0,13.7
2011-07-01,12364.51796875,2774.015206473214,59.84478523617699,67.84731220063709,34.22807511829195,3.0,0.0,4.0,0.0,12.3
2011-08-01,11292.948056175595,2352.9593134341035,60.43205626114555,67.377499455991,34.04412659354832,3.0,0.0,4.0,0.0,11.5
2011-09-01,11449.278423108553,2180.9895463423295,64.1871017109264,68.9315792430531,33.91801452636719,4.0,0.0,3.0,0.0,10.4
2011-10-01,11786.0140625,2124.717459542411,65.63482284545898,75.37689790271577,33.82989865257626,4.0,0.0,4.0,0.0,11.0
2011-11-01,11810.34716796875,1887.1709039861505,65.91951734369451,77.67046078768644,33.94710904901678,3.0,0.0,4.0,0.0,11.4
2011-12-01,11317.818359375,1684.374911221591,64.52482847733931,73.86027388139205,32.35238829526034,3.0,0.0,4.0,0.0,9.7
2012-01-01,11481.43740234375,1974.1786998401988,65.44256071610884,76.28996727683328,32.58108598535711,4.0,0.0,3.0,0.0,10.1
2012-02-01,12371.33544921875,2084.1334286644346,62.62637401762463,86.05344463530041,35.36060769217355,3.0,0.0,4.0,0.0,11.0
2012-03-01,13326.5390625,2664.6903852982955,61.2395076751709,98.00189104947177,35.28428077697754,2.0,0.0,4.0,0.0,10.8
2012-04-01,13904.515478515625,2746.9516020275296,70.69278353736514,119.22495814732143,37.6012814839681,2.0,0.0,4.0,0.0,11.3
2012-05-01,14178.958565848214,2578.5040760869565,79.47622315779977,121.54835211712381,37.9246481190557,3.0,0.0,3.0,0.0,12.3
2012-06-01,13677.459542410714,2559.9991629464284,77.97102791922433,112.31480916341145,36.08364032563709,4.0,0.0,4.0,0.0,11.3
2012-07-01,14429.740048363095,2584.376942027699,92.57280072298917,118.84054565429688,38.447207884355024,3.0,0.0,5.0,0.0,9.6
2012-08-01,14941.146050347223,2615.7152046535325,129.4814210974652,122.77441373078719,39.360513604205586,3.0,0.0,5.0,0.0,9.1
2012-09-01,15362.265516493055,2609.334033203125,134.94747314453124,125.16591453552246,38.08983325958252,3.0,0.0,4.0,0.0,8.8
2012-10-01,15747.00556640625,3172.3181789232335,141.77780018682066,130.11909916089928,37.019450312075406,3.0,0.0,4.0,0.0,7.7
2012-11-01,16234.76884765625,2992.1988636363635,152.61371127041903,135.1239679509943,37.58097041736949,3.0,0.0,4.0,0.0,6.9
2012-12-01,16812.23984375,2970.1048758370534,153.85288274855841,140.63412620907738,40.561998094831196,4.0,0.0,3.0,0.0,7.9
2013-01-01,16704.109375,2961.0563221807065,143.5316400942595,143.92187367314878,40.17494682643724,4.0,0.0,3.0,0.0,8.1
2013-02-01,17731.863389756945,3132.87451171875,149.47187423706055,154.33239135742187,40.713727188110354,4.0,0.0,3.0,0.0,7.4
2013-03-01,17868.4494140625,3237.3923456101193,141.93775140671502,158.23465038481214,39.09140723092215,3.0,0.0,3.0,0.0,6.6
2013-04-01,18644.508522727272,3965.8150634765625,165.01748795942828,164.4818767200817,37.02890118685636,3.0,0.0,3.0,0.0,5.8
2013-05-01,20499.745256696428,4391.303753396739,199.17734229046366,169.79494310461956,39.0318658248238,3.0,0.0,3.0,0.0,5.1
2013-06-01,21911.71953125,4190.919262695313,225.0087905883789,189.14718475341797,45.76766490936279,3.0,0.0,4.0,0.0,5.9
2013-07-01,22946.25017755682,4131.980394446332,260.9007926609205,222.31671142578125,59.14153339551843,5.0,0.0,4.0,0.0,8.3
2013-08-01,22980.79177517361,4072.514237837358,275.92577708851206,221.11013239080256,64.6403539830988,4.0,0.0,4.0,0.0,8.5
2013-09-01,22871.8291015625,3972.5160086495534,287.4385797409784,231.77389308384485,65.3941915602911,7.0,0.0,3.0,0.0,7.4
2013-10-01,22100.867804276317,4184.289115574049,298.84389728048575,225.34864939814028,60.42970159779424,6.0,0.0,3.0,0.0,9.1
2013-11-01,23458.428385416668,5039.169480096726,303.82902454194567,253.11250668480284,64.5074484688895,5.0,0.0,3.0,0.0,10.9
2013-12-01,25117.536923363095,5630.043212890625,282.81274968927556,276.55376919833094,67.3268744728782,6.0,0.0,3.0,0.0,9.2
2014-01-01,26606.8240234375,6600.497622282609,276.9632528553838,299.0152826723845,71.26048909062925,5.0,0.0,3.0,0.0,8.8
2014-02-01,26118.2060546875,6512.4548828125,261.9943733215332,295.186262512207,67.25079383850098,4.0,0.0,3.0,0.0,7.9
2014-03-01,26909.595238095237,5810.314453125,280.58373878115697,315.0775422595796,75.2803235735212,15.0,0.0,3.0,0.0,8.5
2014-04-01,28779.972098214286,5355.373291015625,338.1520788019354,342.2065984552557,84.42650638927113,10.0,0.0,4.0,0.0,9.2
2014-05-01,28782.4115234375,5345.641512784091,364.3982335870916,337.46017178622157,85.40630652687766,6.0,0.0,4.0,0.0,8.3
2014-06-01,29366.171688988095,5343.62353515625,405.4037025088356,378.7362845284598,86.63440377371651,5.0,0.0,4.0,0.0,8.2
2014-07-01,29882.663953993055,5246.00827955163,401.5392190684443,390.74640688688856,88.3382279769234,4.0,0.0,5.0,0.0,7.9
2014-08-01,28748.65892269737,4981.223795572917,372.55283900669644,360.1999671572731,87.76747204008556,5.0,0.0,4.0,0.0,7.0
2014-09-01,29827.087797619046,5161.325284090909,407.56701244007456,378.0548303777521,94.14422364668413,5.0,0.0,3.0,0.0,7.7
2014-10-01,30083.65,5350.159519361413,430.83436518130094,387.3283107591712,98.78436378810717,4.0,0.0,4.0,0.0,5.8
2014-11-01,31328.24643841912,5711.20634765625,498.6531921386719,440.2892242431641,100.67497520446777,5.0,1.0,4.0,0.0,3.9
2014-12-01,31665.347745028408,5804.990000849185,549.6382565705673,468.83489194123644,100.67493073836617,5.0,1.0,3.0,0.0,4.3
2015-01-01,33711.6224609375,6893.82734818892,492.03160233931106,493.0218339399858,102.37560549649325,5.0,2.0,3.0,0.0,3.9
2015-02-01,34155.72347861842,6969.5375,475.20695343017576,506.43993072509767,97.91661949157715,5.0,1.0,3.0,0.0,3.2
2015-03-01,31969.343394886364,6666.974742542614,370.0526872114702,460.56409939852625,92.5396579395641,4.0,1.0,3.0,0.0,2.5
2015-04-01,32647.32347470238,6687.099254261364,387.91606695001775,458.1251650723544,91.62783223932439,4.0,1.0,3.0,0.0,2.1
2015-05-01,33029.96494654605,6702.600841703869,435.2826189313616,442.4700186593192,97.98705328078498,3.0,0.0,3.0,0.0,3.2
2015-06-01,34253.01526988636,6769.410999644886,446.9019608931108,482.7749384099787,103.09677262739702,3.0,1.0,3.0,0.0,3.1
2015-07-01,35504.96504934211,6847.0703125,496.8830513332201,543.4918743631114,111.04890574579653,3.0,0.0,4.0,0.0,1.9
2015-08-01,35253.30933779762,7196.184663318452,494.1161164783296,527.7301722935268,110.03028542654855,4.0,1.0,3.0,0.0,1.8
2015-09-01,33310.24169921875,6907.581454190341,485.76667508212,508.02535594593394,105.63375334306197,4.0,1.0,3.0,0.0,1.3
2015-10-01,33751.592240767044,6757.615633877841,489.88071372292256,521.1786582253196,103.77684159712358,3.0,0.0,3.0,0.0,1.6
2015-11-01,33899.5470703125,6032.709379650298,493.03431193033856,500.6301458449591,107.50830695742653,4.0,0.0,2.0,0.0,2.7
2015-12-01,32716.92345610119,5235.70900560462,465.9996271548064,477.0713713272758,106.66404724121094,4.0,1.0,3.0,0.0,3.2
2016-01-01,31718.59220805921,5083.894228980655,446.9690900530134,478.9845668247768,95.704588390532,3.0,1.0,3.0,0.0,3.3
2016-02-01,31574.393503289473,4859.750744047619,473.80541846865697,474.71472894577755,95.81366657075428,3.0,1.0,3.0,0.0,4.0
2016-03-01,32730.9560546875,4560.604662024457,466.62422644573707,508.1186563243037,93.74169291620669,3.0,1.0,3.0,0.0,3.9
2016-04-01,33840.19084821428,5046.013439360119,483.548086983817,543.5127185639881,91.86605762300037,3.0,0.0,3.0,0.0,4.2
2016-05-01,36128.39490327381,4907.038640802557,506.53847434303975,576.1120494495739,99.59116883711381,3.0,0.0,3.0,0.0,3.2
2016-06-01,37637.2265625,5086.87519975142,505.7760758833452,607.778622713956,101.27153812755238,3.0,0.0,4.0,0.0,3.2
2016-07-01,39024.78837316176,5083.016671316965,593.1786150251116,660.8302001953125,110.32568541027251,2.0,0.0,5.0,0.0,4.1
2016-08-01,39742.245244565216,5107.609990658967,594.2539142111074,677.53722879161,116.89117796524711,2.0,0.0,3.0,0.0,3.6
2016-09-01,40152.685267857145,5193.979869495739,616.0169289328835,643.2815856933594,120.48779262195934,3.0,0.0,3.0,0.0,3.9
2016-10-01,40990.51097470238,5511.989071800595,612.7580944242932,663.5718819754464,120.86909775506882,2.0,0.0,3.0,0.0,4.2
2016-11-01,42394.68043154762,5974.495205965909,657.5715942382812,697.3394914106889,130.15454621748492,3.0,0.0,2.0,0.0,3.8
2016-12-01,45876.64527529762,6219.39277787642,701.765927401456,792.9158824573864,138.27339484474876,3.0,0.0,3.0,0.0,3.7
2017-01-01,49223.8068359375,6466.586847478693,749.2513566450639,843.0416675914418,148.0624604658647,3.0,0.0,3.0,0.0,3.7
2017-02-01,49416.26007401316,6401.610009765625,761.6298126220703,836.6422119140625,148.07362060546876,3.0,1.0,3.0,0.0,4.2
2017-03-01,48869.46963778409,6391.892684273098,729.6448019276495,849.0480930494225,156.65785217285156,2.0,1.0,3.0,0.0,4.9
2017-04-01,48436.96813322369,6671.066186523438,739.3443939208985,839.1619598388672,149.97701110839844,2.0,1.0,3.0,0.0,4.8
2017-05-01,51146.54743303572,6989.704844599185,715.7454595151155,912.9641299040421,165.80349333389947,2.0,0.0,3.0,0.0,5.0
2017-06-01,47860.788194444445,7316.952525745739,718.9131941361861,808.2167497114701,145.99028570001775,2.0,1.0,3.0,0.0,3.9
2017-07-01,45177.3990234375,7349.747140066965,696.8203154064361,728.4911121186756,141.11805071149553,4.0,1.0,3.0,0.0,2.9
2017-08-01,44036.697088068184,7950.370647927989,639.6349328082541,639.232397991678,124.48313273554263,3.0,1.0,3.0,0.0,3.4
2017-09-01,42271.31414473684,8964.02357700893,618.3053705124628,575.8747965494791,102.73813047863189,3.0,1.0,3.0,0.0,3.9
2017-10-01,40927.188920454544,9182.592151988636,604.4145036177201,505.89659257368606,97.54702654751864,3.0,1.0,3.0,0.0,3.8
2017-11-01,40673.39415922619,8482.222678444603,562.8064380992543,497.1442371715199,95.14127245816317,3.0,1.0,2.0,0.0,4.0
2017-12-01,39138.62088815789,8643.321986607143,526.9265529087612,468.1341058640253,92.95196496872674,6.0,1.0,2.0,0.0,4.6
